Movement Magnitude,Correlation with Predictions,Prediction Change
0.015231172134017918,0.27790293808795274,0.0010078733321279287
0.014128204063039872,0.4432266494772299,0.0016586858546361327
0.024504810598279192,0.49045763543238186,0.0005118371918797493
0.022335939234452522,0.613437607516945,0.0012205890379846096
0.035629839927681886,0.35739666122131697,0.0007816589204594493
0.03454333428624057,0.5819131428124935,0.003653558436781168
0.016300660280815144,0.4451294543810689,0.001318580936640501
0.015982003523338794,0.6064669388303843,0.0045446972362697124
0.02498473971275236,0.4230748179716776,0.0023607148323208094
0.024504345961621855,0.6216374795299501,0.003154601901769638
